Course ID,Course,Hours,Type,Days,Times,Instructor,Room,Students,Lectures,Group,Avoid
EGNR491-1,EGNR491,3,S,,,Devaprasad:Becks:Weber:Hildebrand:Nudurupati,Gen6,20,,CE-Sr:EE-Sr:EET-Sr:ME-Sr:MT-Sr,
EGNR491-ABCDE,EGNR491,3,L,,,Devaprasad:Becks:Weber:Hildebrand:Nudurupati,Gen7,20,,CE-Sr:EE-Sr:EET-Sr:ME-Sr:MT-Sr,
EGRS430-1,EGRS430,3,S,,,Weber,Gen8,12,,CE-Jr:CE-Sr:EE-Jr:EE-Sr:EET-Jr:EET-Sr:ME-Jr:ME-Sr:MT-Jr:MT-Sr,
EGRS430-A,EGRS430,3,L,,,Weber,CAS125,12,,CE-Jr:CE-Sr:EE-Jr:EE-Sr:EET-Jr:EET-Sr:ME-Jr:ME-Sr:MT-Jr:MT-Sr,
MATH310-1,MATH310,3,S,,,Hildebrand,Gen1,30,,CE-So:EE-So:ME-So,
EGEE300-1,EGEE300,2,S,,,Weber,Gen2,15,,CE-Jr:CE-Sr:EE-Jr:EE-Sr:ME-Jr:ME-Sr,
EGEE300-A,EGEE300,2,L,,,Weber,CAS306,15,,CE-Jr:CE-Sr:EE-Jr:EE-Sr:ME-Jr:ME-Sr,
EGEE210-1,EGEE210,3,S,,,Moening,Gen3,24,,CE-So:EE-So:ME-Jr,
EGEE210-A,EGEE210,2,L,,,Weber,CAS306,12,,CE-So:EE-So:ME-Jr,
EGEE210-B,EGEE210,2,L,,,Weber,CAS306,12,,CE-So:EE-So:ME-Jr,
EGNR101-1,EGNR101,1,S,,,Jones:Janjua:Duesing:Devaprasad:Hildebrand,Gen4,50,,CE-Fr:EE-Fr:EET-Fr:ME-Fr:MT-Fr,
EGNR101-A,EGNR101,2,L,,,Jones,CAS209B:CAS209C,1,,CE-Fr:EE-Fr:EET-Fr:ME-Fr:MT-Fr,
EGNR101-B,EGNR101,2,L,,,Jones,CAS209B:CAS209C,1,,CE-Fr:EE-Fr:EET-Fr:ME-Fr:MT-Fr,
EGNR101-C,EGNR101,2,L,,,Janjua,CAS209B:CAS209C,1,,CE-Fr:EE-Fr:EET-Fr:ME-Fr:MT-Fr,
EGNR101-D,EGNR101,2,L,,,Janjua,CAS209B:CAS209C,1,,CE-Fr:EE-Fr:EET-Fr:ME-Fr:MT-Fr,
EGNR140-1,EGNR140,1,S,,,Nudurupati,Gen5,20,,CE-Fr:EE-Fr:EET-So:ME-Fr:MT-Jr,
EGNR140-A,EGNR140,3,L,,,Nudurupati,CAS209B:CAS209C,1,,CE-Fr:EE-Fr:EET-So:ME-Fr:MT-Jr,
EGRS460-1,EGRS460,3,S,,,Baumann,Gen9,20,,CE-Sr:EE-Sr:ME-Sr,
EGRS460-A,EGRS460,3,L,,,Baumann,CAS309,10,,CE-Sr:EE-Sr:ME-Sr,
EGRS460-B,EGRS460,3,L,,,Baumann,CAS309,10,,CE-Sr:EE-Sr:ME-Sr,
EGNR265-1,EGNR265,3,S,,,Jones,Gen10,28,,EE-So:EET-So:ME-So:MT-So,
EGNR340-1,EGNR340,2,L,,,Hildebrand,CAS311,12,,CE-Jr:EE-So:ME-Jr,
EGME141-1,EGME141,2,S,,,Duesing,CAS209B:CAS209C,1,,EET-Fr:ME-Fr:MT-Fr,
EGME141-2,EGME141,2,S,,,Janjua,CAS209B,15,,EET-Fr:ME-Fr:MT-Fr,
EGME141-3,EGME141,2,S,,,Janjua,CAS209B,15,,EET-Fr:ME-Fr:MT-Fr,
EGME141-A,EGME141,1,L,,,Duesing,CAS209B:CAS209C,1,,EET-Fr:ME-Fr:MT-Fr,
EGME141-B,EGME141,1,L,,,Janjua,CAS209B:CAS209C,1,,EET-Fr:ME-Fr:MT-Fr,
EGME141-C,EGME141,1,L,,,Janjua,CAS209B:CAS209C,1,,EET-Fr:ME-Fr:MT-Fr,
EGNR310-1,EGNR310,3,S,,,Hildebrand,CAS106C,20,,EET-Sr:ME-Jr:ME-Sr:MT-So:MT-Jr,
EGRS380-1,EGRS380,2,S,,,Devaprasad,CAS310,20,,EET-Jr:MT-Jr,
EGRS381-1,EGRS381,1,L,,,Devaprasad,CAS125,12,,EET-Jr:MT-Jr,
,,,,,,,,,,,
EGEE250-1,EGEE250,3,S,,,Jones,Gen11,24,,CE-Jr:EE-So:EET-Jr,
EGEE250-A,EGEE250,2,L,,,Jones,CAS304,12,,CE-Jr:EE-So:EET-Jr,
EGEE250-B,EGEE250,3,S,,,Jones,CAS304,12,,CE-Jr:EE-So:EET-Jr,
EGEE280-1,EGEE280,3,S,,,Baumann,Gen12,30,,CE-So:EE-So:ME-Jr:ME-Sr,
EGEE280-A,EGEE280,3,L,,,Baumann,CAS209B:CAS209C,1,,CE-So:EE-So:ME-Jr:ME-Sr,
EGEE280-B,EGEE280,3,L,,,Baumann,CAS209B:CAS209C,1,,CE-So:EE-So:ME-Jr:ME-Sr,
EGEE330-1,EGEE330,3,S,,,Moening,Gen13,15,,EE-Jr:EE-Sr,
EGEE330-A,EGEE330,2,L,,,Moening,CAS310,15,,EE-Jr:EE-Sr,
EGEE370-1,EGEE370,3,S,,,Moening,Gen14,15,,CE-Jr:EE-Jr,
EGEE370-A,EGEE370,3,L,,,Moening,CAS306,15,,CE-Jr:EE-Jr,
,,,,,,,,,,,
EGEM220-1,EGEM220,3,S,,,Duesing,CAS311,24,,CE-Sr:EE-Jr:ME-So,
EGEM320-1,EGEM320,3,S,,,Hildebrand,CAS311,16,,EE-Jr:EE-Sr:ME-Jr,
EGME110-1,EGME110,2,S,,,Duesing,Gen15,50,,ME-Fr:MT-Fr,
EGME110-A,EGME110,3,L,,,Duesing,CAS120,10,,ME-Fr:MT-Fr,
EGME110-B,EGME110,3,L,,,Coullard,CAS120,10,,ME-Fr:MT-Fr,
EGME110-C,EGME110,3,L,,,Duesing,CAS120,10,,ME-Fr:MT-Fr,
EGME110-D,EGME110,3,L,,,Coullard,CAS120,10,,ME-Fr:MT-Fr,
EGME110-E,EGME110,3,L,,,Coullard,CAS120,10,,ME-Fr:MT-Fr,
EGME312-1,EGME312,1,S,,,Janjua,Gen16,12,,ME-Jr:ME-Sr:MT-So:MT-Jr,
EGME312-A1,EGME312,2,L,,,Janjua,CAS120,12,,ME-Jr:ME-Sr:MT-So:MT-Jr,
EGME312-A2,EGME312,3,L,,,Janjua,CAS209C,12,,ME-Jr:ME-Sr:MT-So:MT-Jr,
EGME350-1,EGME350,3,S,,,Nudurupati,Gen17,14,,ME-Jr,
EGME350-A,EGME350,3,L,,,Nudurupati,CAS120,14,,ME-Jr,
EGME431-1,EGME431,3,S,,,Janjua,Gen18,12,,ME-Sr,
EGME432-1,EGME432,3,L,,,Nudurupati,CAS106A,10,,ME-Sr,
,,,,,,,,,,,
CHEM115,CHEM115,,,MON:TUE:WED:FRI,11.0-12.0,,,0,,,
CHEM115-L,CHEM115,,,WED,12.0-14.0,,,0,,,
CSCI105,CSCI105,,,THU:FRI,14.0-15.0,,,0,,,
CSCI105-L,CSCI105,,,MON:TUE:WED:FRI,15.0-16.0,,,0,,,
CSCI122,CSCI122,,,MON:WED:FRI,9.0-10.0,,,0,,,
ENGL110,ENGL110,,,MON:WED:FRI,13.0-14.0,,,0,,,
ENGL111,ENGL111,,,MON:WED:FRI,8.0-9.0,,,0,,,
MATH151,MATH151,,,MON:TUE:THU:FRI,8.0-9.0,,,0,,,
MATH152,MATH152,,,MON:TUE:THU:FRI,8.0-9.0,,,0,,,
MATH310,MATH310,,,MON:WED:FRI,8.0-9.0,,,0,,,
MATH131,MATH131,,,TUE:THU,11.0-12.5,,,0,,,
MATH111,MATH111,,,MON:WED:FRI,9.0-10.0,,,0,,,
MATH112,MATH112,,,MON:TUE:WED:THU,10.0-11.0,,,0,,,
MATH207,MATH207,,,MON:WED:FRI,13.0-14.0,,,0,,,
MATH102,MATH102,,,TUE:THU,18.0-20.0,,,0,,,
PHYS231,PHYS231,,,TUE:THU,9.5-11.0,,,0,,,
PHYS221,PHYS221,,,TUE:THU,11.0-12.5,,,0,,,
PHYS231-L,PHYS231,,,TUE,16.0-18.0,,,0,,,
PHYS221-L,PHYS221,,,TUE,15.0-17.0,,,0,,,
COMM101,COMM101,,,MON:WED:FRI,12.0-13.0,,,0,,,
HUMN251,HUMN251,,,MON:WED,14.0-16.0,,,0,,,
